group_key,group_label,color,stage_key,stage_label,stage_score
ablation_pure_llm,Pure LLM,#6b7280,detect,Detect,0.6224
ablation_pure_llm,Pure LLM,#6b7280,disrupt,Disrupt,0.5731
ablation_pure_llm,Pure LLM,#6b7280,breach,Breach,0.5591
ablation_pure_llm,Pure LLM,#6b7280,control,Control,0.6443
ablation_pure_llm,Pure LLM,#6b7280,sustain,Sustain,0.684
ablation_memento,LLM + Memento,#3b82f6,detect,Detect,0.61
ablation_memento,LLM + Memento,#3b82f6,disrupt,Disrupt,0.6126
ablation_memento,LLM + Memento,#3b82f6,breach,Breach,0.5583
ablation_memento,LLM + Memento,#3b82f6,control,Control,0.6088
ablation_memento,LLM + Memento,#3b82f6,sustain,Sustain,0.6403
ablation_hope,LLM + Hope,#f59e0b,detect,Detect,0.6494
ablation_hope,LLM + Hope,#f59e0b,disrupt,Disrupt,0.5778
ablation_hope,LLM + Hope,#f59e0b,breach,Breach,0.5857
ablation_hope,LLM + Hope,#f59e0b,control,Control,0.665
ablation_hope,LLM + Hope,#f59e0b,sustain,Sustain,0.7009
ablation_reflection_only,LLM + Reflection,#8b5cf6,detect,Detect,0.6159
ablation_reflection_only,LLM + Reflection,#8b5cf6,disrupt,Disrupt,0.6025
ablation_reflection_only,LLM + Reflection,#8b5cf6,breach,Breach,0.5241
ablation_reflection_only,LLM + Reflection,#8b5cf6,control,Control,0.5421
ablation_reflection_only,LLM + Reflection,#8b5cf6,sustain,Sustain,0.5522
ablation_full,Full,#10b981,detect,Detect,0.6665
ablation_full,Full,#10b981,disrupt,Disrupt,0.6569
ablation_full,Full,#10b981,breach,Breach,0.6088
ablation_full,Full,#10b981,control,Control,0.6797
ablation_full,Full,#10b981,sustain,Sustain,0.6657
